"MEU DEUS 
"RT @UOLNoticias: Prefeito de So Paulo: Doria comemora avano do Corujo, mas omite dados de fila de exames https://t.co/bP0qWKivZb #SoPau",
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
RT @Ilisp_org: Doria encerra contrato da prefeitura com empresa envolvida em corrupo naPetrobras https://t.co/AP5D7WlvUZ https://t.co/eT,
RT @UOLNoticias: Joo Doria comemora popularidade no Nordeste https://t.co/jJ3xotWYDz,
RT @Estadao: Veja as diferenas entre o estilo de Marcela Temer e Bia Doria https://t.co/8hWejZHIj8 https://t.co/jyWhHmUBbl,
O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria https://t.co/Y9XjS8y9DA,
#DemocraciaJ #ForaTemer #OCafezinho O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria https://t.co/Y9tGwWEkiT,
"RT @DeputadoFederal: Prefeito de So Paulo, Joo Doria se fantasia de gari mas no chega perto de pobres durante operao Cidade Linda ht",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"@ocafezinho @robsongfreire de mdico e louco, cada um tem um pouco. Ledo engano, esse Dria  dotado , irrestritamente, da segunda opo",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"RT @macunaimaz: https://t.co/ciJlj1uw4q

Doria falta mais voc por ai",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"@BlogdoNoblat A Globo descobrir em breve o prximo Messias. Dria toma caf junto com a empatia de ""Salvador"".",
"com certeza ja temos uma chapa pra 2018 Doria presidente Geraldo vice, o andar da carruagem nesse sentido, estratgia colocada na rua j...",
Doria  f...a mesmo  https://t.co/GdDVyO7cJU,
"Depois de ter Dudu e Marco repercutindo negativamente nos portais de notcia, o SBT Brasil comemora a repercusso da entrevista do Dria",
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"@GTMacalossi @FabianaMMendes O LULA deve estar metendo o dedo no c, pois o Dria est colocando os pobres l dentro do seu hospital.",
"RT @EsquerdaDiario: Doria tenta intimidar rodovirios a no aderirem  paralisao amanh

#15M 

https://t.co/ApiJqWbjmm https://t.co/y1eW",
"RT @Politica_Santos: Esse final de semana pixaram a placa da Coca, parceira do metro d SP. Se Doria descobre, quem fez vai ficar uns 5 anos",
"RT @blogdojefferson: Vejam s o que fizeram os adoradores do honesto, no prdio da Justia Federal. Precisa um J.Dria em Braslia pra peg",
"RT @Politica_Santos: Esse final de semana pixaram a placa da Coca, parceira do metro d SP. Se Doria descobre, quem fez vai ficar uns 5 anos",
"RT @anterogreco: Dria admite entrar na corrida pela presidncia em 2018. Dois meses de prefeitura de SP, vestiu-se de gari e virou ""refer",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
@Anaviazan esse Dria tem resposta pronta para tudo,
@juniorpitangui  mas ele criou um monstro chamado Doria q pode puxar o tapete dele,
"RT @Anaviazan: Doria para Kennedy Alencar: ""o sr. gostaria que pichassem a porta da sua casa? transgresso no tem idade"" https://t",
"2018
Voc  capaz de votar (ou suportar) num Trump tropical?

cuidado, Joo Dria existe perigosamente

https://t.co/obDNdE76R4",
"https://t.co/ciJlj1uw4q

Doria falta mais voc por ai",
"RT @blogdojefferson: Vejam s o que fizeram os adoradores do honesto, no prdio da Justia Federal. Precisa um J.Dria em Braslia pra peg",
"Todos conhecem essa desgraa no  mesmo, pois ento, seu partido a Rede sustentabilidade fez o seguinte CONTRA SP https://t.co/wRgPCvZKvo",
"RT @BlasBarrios: URGENTE!!! asesinaron al hermano de Jarvis Pava,  Rony Pava en zona de Ponta Por @780AM",
Gostei de um vdeo @YouTube https://t.co/DoLhaQDsfzO DORIA participa do programa do Datena na Rdio Bandeirantes,
"RT @DanielGuth: Kennedy Alencar: No o comove o argumento de q a velocidade agrava o ferimento e aumenta risco de morte?

Doria: No.",
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
Doria encerra contrato com empresa acusada de corrupo | https://t.co/K6eGDzKbj9 https://t.co/7H7G4JRehe,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
"RT @Jornalivre_BR: Durante vistoria em nibus, empresa tentou enrolar Doria, mas nofuncionou https://t.co/cw0sHapcGq https://t.co/4VWjyz1",
Joo Dria dizendo que poder se candidatar  presidncia. Fico imaginando isso com o Roberto Justus e comeo a rir por causa do bordo dele,
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
Joo Dria ou Lula em 2018?,
"RT @FromHell6661: Me filiei ao PV
 Marina Silva presidenta  e Joo Dria vice  #Babidi2018",
"O Acio eu no sei se ser comido,mas aqui em SP,o xuxu j t no prato do Dria,e da Globo.",
Gostei de um vdeo @YouTube https://t.co/MapDjKfSGHO DORIA participa do programa do Datena na Rdio Bandeirantes,
RT @Garcia_Itaipu: O Rio nunca sair dessa ciranda de merda. Que inveja dos paulistanos com o Dria. https://t.co/MTrITyhcFj,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @DanielGuth: Kennedy Alencar: No o comove o argumento de q a velocidade agrava o ferimento e aumenta risco de morte?

Doria: No.",
RT @jefer234: Doria encerra contrato com empresa acusada de ... https://t.co/h9ajfflhsA,
RT @rbarok94: O Rei Leo e as suas lies https://t.co/EVr28V6uC0,
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
@nickvcr AHHHH NO N NICOLE,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
RT @Jornalivre_BR: Joo Doria desmonta discurso pr-pichaes de jornalista e viraliza nainternet https://t.co/mslI4xd33X https://t.co/ndM,
"RT @cyrusafa: ""O TJ acolheu pedido da gesto Joo Doria (...) definiu multa de R$ 5 milhes por hora caso o sindicato descumpra a deciso""",
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
"RT @Doria_2018: Doria sempre atuando pela populao e no para os ""especialistas"" parciais e pessimista!! 

#JooTrabalhador #AceleraSP htt",
RT @augustoemil: S um novo e surpreendente nome  impedir Joo Dria de ser o prximo presidente da Repblica. Infelizmente!!! https://t.c,
"Doria tenta intimidar rodovirios a no aderirem  paralisao amanh

#15M 

https://t.co/ApiJqWbjmm https://t.co/y1eWveXq9W",
"@Doria_2018 @PORTO_Nat @jdoriajr esto morrendo de medo... s espero que ele, o D no se corrompa :( a gte precisa de honestos no gov",
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
"Me filiei ao PV
 Marina Silva presidenta  e Joo Dria vice  #Babidi2018",
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
"RT @cafejornal: Pela segunda vez, o prefeito de So Paulo, Joo Doria, faz um percurso de nibus at a prefeitura. Hoje, o trajeto comeou",
RT @brunacorreiade: IML de Cuiab no  nada diante da possibilidade do joo doria virar presidente do brasil,
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
RT @Garcia_Itaipu: O Rio nunca sair dessa ciranda de merda. Que inveja dos paulistanos com o Dria. https://t.co/MTrITyhcFj,
O Rio nunca sair dessa ciranda de merda. Que inveja dos paulistanos com o Dria. https://t.co/MTrITyhcFj,
RT @DCM_online: Doria no descarta concorrer ao Planalto em 2018 https://t.co/eDvA2U1VNU,
S um novo e surpreendente nome  impedir Joo Dria de ser o prximo presidente da Repblica. Infelizmente!!! https://t.co/S9XyQJHPbw,
"Parabns ao Senhor Joo Dria Jr, prefeito de So Paulo. https://t.co/Wcr7D63dSa",
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
"90 MINUTOS COM DATENA !!
Jos Luiz Datena recebeu o prefeito de So Paulo, Joo Doria.
Perdeu a live? Veja aqui... https://t.co/O0FTnxq833",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
BOA DORIA https://t.co/wrclgr1JTZ,
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
"Tem pro Doria @jdoriajr ? No, n!  https://t.co/6T6sk4v2op",
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
ENTREVISTA COM O PRESIDENTE JOO DORIA..!!  https://t.co/iT78gBvQio via @youtube,
"O cara nem sabe o que periferia, cala a boca, d lhe Dria. https://t.co/UmYmeksHvS",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"Grupo de trabalho vai avaliar o spread bancrio, diz Jereissati.  https://t.co/M7DPCwbslk  #spread #Jereissati #Ilan",
WoW! Acredito q o cheiro de urina tb se foi... mas vo dizer q isto no quer dizer nada! ;) https://t.co/TpDePoVbOq,
RT @woodstock_59: O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Agripino vulgo @jdoriajr  https://t.co/jfGaRXJkqe,
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
Queria poder aderir  greve amanh. Mas mei chefe  f do Dria e certamente acha que esses atos so perda de tempo.,
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
Pedreiro descobre por acaso verba de FGTS e direito de aposentar https://t.co/DTXcRm6iDH,
@jdoriajr os criticos acham que o dria vai chegar com uma varinha de condo e arrumar num passe de mgica,
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"RT @implicante_org: Gesto Dria: 4 membros do ""Rede"" acionam justia contra doaes  prefeitura de So Paulo | https://t.co/7gggKEKgHA ht",
RT @woodstock_59: O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Agripino vulgo @jdoriajr  https://t.co/jfGaRXJkqe,
RT @woodstock_59: O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Agripino vulgo @jdoriajr  https://t.co/jfGaRXJkqe,
RT @woodstock_59: O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Agripino vulgo @jdoriajr  https://t.co/jfGaRXJkqe,
Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/hE03u3j6Ch,
O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Agripino vulgo @jdoriajr  https://t.co/noovm9VKjE,
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
"RT @ferrisss: DORIA PRESIDENTE!!! 
VENHO AVISANDO!!

SIGAM --&gt; @DoriaPresidente https://t.co/x1t7R0yFbP",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"Se o Dria se candidatar a presidncia eu voto nele, bj",
"O brasileiro  um trabalhador comprometido. Veja o vdeo ""IML de Cuiab"" e ""Teste da Rede de Apto"". Q Dria o q! Esses caras sim trabalham.",
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
RT @GabiMunizFFC: @victorvenetillo Dria kkkk,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @implicante_org: Gesto Dria: 4 membros do ""Rede"" acionam justia contra doaes  prefeitura de So Paulo | https://t.co/7gggKEKgHA ht",
RT @UOLNoticias: Joo Doria comemora popularidade no Nordeste https://t.co/jJ3xotWYDz,
s vai sobrar o dria de poltico no Brasil inteiro https://t.co/Ep07eS4OX8,
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
@victorvenetillo Dria kkkk,
"Dria colocando no 12 contra os pichadores de So Paulo, eu jamais iria aceitar minha propriedade pichada, se eu pegar deito o corpo dele.",
@rcp01  Dria ou Bolsonaro se continuarem as mesmas ratazanas corruptas. No vai aparecer nenhum milagre novo desse lixo w est a.,
"Gesto Dria: 4 membros do ""Rede"" acionam justia contra doaes  prefeitura de So Paulo | https://t.co/7gggKEKgHA https://t.co/EVQga5pGQO",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"Tapa na cara! Boa, Joo Dria! https://t.co/Wq1uB2sSgV",
"RT @DiarioPE: Doria no descarta candidatura  Presidncia em 2018
https://t.co/KJlbJWesWG https://t.co/IUisQPgucd",
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
Dria tem meu apoio... https://t.co/VrGFntotJI,
"RT @UOLNoticias: Prefeito de So Paulo: Doria comemora avano do Corujo, mas omite dados de fila de exames https://t.co/bP0qWKivZb #SoPau",
"RT @epocanegocios: Nada  irreversvel, diz Joo Doria sobre Presidncia em 2018, enquanto chama governo Lula de ""desastre"" https://t.co/",
@DaniloDefina @ahhpaula @LulapeloBrasil O senhor provavelmente apoia a candidatura de Dria como presidente em 2018.,
"RT @pinkywainer: se vc recebe remdios de graa e libera as industrias farmacuticas de pagar imposto, vc est pagando pelos remdios ora.",
"RT @anterogreco: Dria admite entrar na corrida pela presidncia em 2018. Dois meses de prefeitura de SP, vestiu-se de gari e virou ""refer",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/KWLg0PdtkK,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
RT @efagaraz: Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/xYBd1Xmqkc,
Doria encerra contrato com empresa acusada de corrupo https://t.co/Zh3y207FRU,
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
"RT @blogdojefferson: Vejam s o que fizeram os adoradores do honesto, no prdio da Justia Federal. Precisa um J.Dria em Braslia pra peg",
Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/bPdIQVGEf4 via @implicante_org,
"@semritalina @chicobarney Chico Barney, primeiro Dria, agora Daniel?! Tsc, tsc!",
"RT @RealEden: Com ZERO Reais em mdia as publicaes de Dria no FB atingem 70 mil likes, 800 mil visualizaes e 18 mil compartilhamentos.",
RT @arapuiva: Joo Doria comemora popularidade no Nordeste aps vdeo em que grita: VIVA O LULA!!!  VIVA O LULA!!!  VIVA O LULA!!! https://,
"RT @blogdojefferson: Vejam s o que fizeram os adoradores do honesto, no prdio da Justia Federal. Precisa um J.Dria em Braslia pra peg",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
"RT @blogdojefferson: Vejam s o que fizeram os adoradores do honesto, no prdio da Justia Federal. Precisa um J.Dria em Braslia pra peg",
"O Doria pos o petralhinha no lugar dele.

#Doria2018 https://t.co/9OCf7bRfa7",
Doria tenta intimidar rodovirios a no aderirem  paralisao amanh  https://t.co/TNDCS5q6Q4 via @esquerdadiario,
"@i Eu sofri provocaes, quando disse que Alckmin pediria ao Dria para ser candidato  presidncia  O homem est ""atropelando"" os polticos",
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
RT @Jornalivre_BR: Joo Doria desmonta discurso pr-pichaes de jornalista e viraliza nainternet https://t.co/mslI4xd33X https://t.co/ndM,
Doria cagou na cabea do jornalista,
RT @marionegocio: Doria fez jornalista passar vergonha. https://t.co/w5WXbh36Mz,
RT @AdsumP: Dria come caviar com a elite paulista e deixa a bunda de fora https://t.co/QrKnDy2fGd,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
@GABRIELPlNHEIRO &lt;- Doriana leva a quela lambuzada depois o comunista Doria enterra 10 bananas @cmadurei https://t.co/DDxIAf359z,
"RT @BancaleroXequeM: Retweeted Eita! (@eita_br):

Vale a pena ver de novo o sorriso amarelo de Joo Doria, o invasor de terras... https:/",
"Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
RT @implicante_org: Deputado do Piau revela que a popularidade de Joo Doria est em alta tambm no Nordeste | https://t.co/eaaqp6MiGi htt,
"RT @blogdojefferson: Vejam s o que fizeram os adoradores do honesto, no prdio da Justia Federal. Precisa um J.Dria em Braslia pra peg",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
RT @enzoovieira: doria vira presidente pf eu nunca te pedi nada https://t.co/E1e0v9k6jV,
"RT @blogdojefferson: Vejam s o que fizeram os adoradores do honesto, no prdio da Justia Federal. Precisa um J.Dria em Braslia pra peg",
Doria viaja de nibus como prefeito pela 2 vez e quer intervalo de at 15 minutos entre coletivos https://t.co/HEidw0F2tI,
Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/MHrl7Wod3Z,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
Blog do Tidi: Doria viaja de nibus como prefeito pela 2 vez e ... https://t.co/TKZRjr45cI,
"@UOLNoticias Queremos ver em nmeros o efetivo crescimento da cidade de Sp com a gesto de Doria, at agora s vimos ele fantasiado de gari",
"Porque quem l at imagina ,fizeram uma pesquisa no Nordeste e o Dria  popular l,mas no,a fonte  o Hieraclito! ( sei nem escrever isso)",
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
"RT @vovomaluquinha: Esse bode representa o que pensamos do governo Temer,do Doria e os politicos golpistas kkk https://t.co/Agbvus3gIE",
"RT @Brasil_de_Fato: Site da prefeitura diz que o ""Redeno"" tem como principal objetivo a extino do trfico de drogas nas cracolndias ht",
"RT @Anaviazan: Doria para Kennedy Alencar: ""o sr. gostaria que pichassem a porta da sua casa? transgresso no tem idade"" https://t",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"Site da prefeitura diz que o ""Redeno"" tem como principal objetivo a extino do trfico de drogas nas cracolndias https://t.co/lg4utrwvse",
"Retweeted Paula (@paulacamara_):

Dria detona Kennedy Alencar e o PT   https://t.co/AVxzJwz8g5 https://t.co/8Ysy4XkKoP",
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
Joo Dria e Geraldo Alckmin intimidando uma galera a no aderirem a paralisao contra a reforma da previdncia: isso  uma chantagem?,
RT @efagaraz: Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/xYBd1Xmqkc,
RTUOLNoticias: Joo Doria comemora popularidade no Nordeste https://t.co/8kly7DQ1Ry,
"Nada  irreversvel, diz Doria sobre Presidncia em 2018 https://t.co/FgEebfSVWv",
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
RT @RobertoRibeir29: VIVA O LULA!!!  VIVA O LULA!!!  VIVA O LULA!!! Vdeo mostra porque Joo Doria est popular no Nordeste &gt;&gt;&gt;&gt; https://t.,
"Blog do Tidi: Nada  irreversvel, diz Doria sobre Presidncia... https://t.co/imtTs2qdrU",
CUT-SP condena tentativa de Alckmin e Doria de barrar o direito  greve dos metrovirios e condutores https://t.co/9tvjmzDTTx,
@UOLNoticias @UOL t igual a melody. Se falam de vc  apenas pq esto rindo das marmotas que o fantstico mundo de Bob Doria cria todo dia!,
VIVA O LULA!!!  VIVA O LULA!!!  VIVA O LULA!!! Vdeo mostra porque Joo Doria est popular no Nordeste &gt;&gt;&gt;&gt; https://t.co/wwXRs93nVb,
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @Uma_Brasileira: Mais um projeto de Doria dando resultado: o Cidade Linda deixou a Praa da S assim https://t.co/WxrYM7Yf1P via @implic,
RT @UOLNoticias: Joo Doria comemora popularidade no Nordeste https://t.co/jJ3xotWYDz,
Melou p/ Alckmin Dria ser candidato a presidncia da repblica em 2018,
Vdeo mostra porque Joo Doria est popular no Nordeste &gt;&gt;&gt;&gt; https://t.co/iqyFcvP0v1 https://t.co/TRf3Ty2OEZ,
RT @tarlouze: Dirio do Centro do Mundo O desespero de Alckmin para conter o inevitvel: a traio de https://t.co/CKOKQTDUWk https://t.co,
RT @manucaferreira: Vou sair amanh aqui pela Boca do Rio perguntando se eles sabem quem  Joo Dria. Factide do cacete https://t.co/XU5A,
Gostei de um vdeo @YouTube https://t.co/iYidJdLSnT Alencar entrevista o prefeito de So Paulo Joo Doria,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"BOCA MOLE DA ODEBRETCH T LANANDO DRIA PRA PRESIDENTE L NO NORDESTE PRA TENTAR NEUTRALIZAR LULA
QU,QU,QU TENHA D",
Kennedy Alencar entrevista o prefeito de So Paulo Joo Doria https://t.co/pzhDa4K0cC via @YouTube,
"Acorda povo, queremos ver em nmeros o efetivo crescimento da cidade de Sp com a gesto de Doria, at agora s vimo https://t.co/991nvRJewA",
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
RT @implicante_org: Deputado do Piau revela que a popularidade de Joo Doria est em alta tambm no Nordeste | https://t.co/eaaqp6MiGi htt,
"@jdoriajr Senhor prefeito Doria, existe algum plano de criao de um ps no campo limpo ? 7",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"@jdoriajr Senhor prefeito Doria, existe algum plano de criao de um ps no campo limpo ? 6",
O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/DJQs0Rhata,
"@jdoriajr Senhor prefeito Doria, existe algum plano de criao de um ps no campo limpo ? 5",
"POPULARIDADE QU,QU,QU
ALGUEM PERGUNTOU PRO BOCA MOLE QUE  DRIA ,ISSO  POPULARIDADE QU,QU ,QU
SABE QUEM PER https://t.co/M6rwLmCY7i",
CUT-SP condena tentativa de Alckmin e Doria de barrar o direito  greve dos metrovirios e condutores https://t.co/aE5Pc7d2Dn,
"RT @blogdojefferson: Enquanto Dilma, a impichada, viaja com assessores pagos com dinheiro pblico, Dria ir  Europa e no levar assessor",
"@jdoriajr Senhor prefeito Doria, existe algum plano de criao de um ps no campo limpo ? 4",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"Me bateu uma dvida sobre o Dria.

Um dos principais motivos dele ter sido eleito  por ser visto como um... https://t.co/R2KhlAUGvA",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"@jdoriajr Senhor prefeito Doria, existe algum plano de criao de um ps no campo limpo ? 3",
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
"@jdoriajr Senhor prefeito Doria, existe algum plano de criao de um ps no campo limpo ? 2",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
